"",,,,,,,,,,,,,,,,,,,,,,,
Beef,,,,,,,,,,,,,,,,,,,,,,,
Kid’s Hamburger,271.6,1142,14.8,31.8,6,9.7,4.6,0.9 3.6,1.7,,0.383,5,5,4,5,5,5,5,5,4,5,4,5
Kid’s Cheeseburger,313,1380,18,31.6,6.7,14.3,2.4,0.9 6.3,1.5,,0.632,5,4,4,5,4,5,5,5,4,5,4,5
Chicken* Nuggets (4 pieces) includes dip,199,871,11.5,19.3,7.4,9.1,3.5,2 1.1,1.5,,0.642,5,4,4,4,5,5,5,5,4,5,5,4
Char-Grilled Chicken Fillet Strips,122,402,18.5,0.5,0.5,2.1,0.8,Ene0r.7gy (kca0l.)5,0.4,,0.398,5,4,4,4,4,5,4,5,4,4,4,5
Kid’s Grilled Chicken Strip Burger,266.9,1127,24.1,31.4,6.5,4.6,2.2,1.5 0.8,1.8,,0.787,5,4,4,4,4,5,4,5,4,4,4,5
Kid’s Veggie Bean Burger,294,1316,8,45.2,7.1,10.4,5.3,Ene2r.2gy (kJ) 2.4,3.4,,0.637,5,5,4,5,5,5,5,4,4,5,4,5
"Sides, Dips and Extras",,,,,,,,,,,,,,,,,,,,,,,
Fries (Small),197,932,2.9,29.3,0.2,10,5,Pro1te.9in (g) 3.1,2.1,,0.459,5,5,5,5,5,5,5,4,5,5,5,5
Fries (Medium),258,1160,3.6,36.4,0.2,12.4,6.3,2.4 3.8,2.6,,0.571,5,5,5,5,5,5,5,4,5,5,5,5
Fries (Large),327,1658,5.1,52,0.3,17.8,9,3.4 5.4,3.7,,0.816,5,5,5,5,5,5,5,4,5,5,5,5
Fries (Super),391,1968,6.1,61.8,0.4,21.1,10.6,Carb4 ohydra6.t5e (g),4.4,,0.969,5,5,5,5,5,5,5,4,5,5,5,5
Onion Rings* (5 pieces),231.8,971,3.8,28,2.6,11.1,5.9,2.3 2.5,2.5,,0.119,5,5,4,5,5,5,5,4,5,5,5,5
Onion Rings* (Regular) 8 pieces,356.4,1490,6.1,41,4.3,17.6,8.9,3.4 4.6,4.4,,0.143,5,5,4,5,5,5,5,4,5,5,5,5
"",,,,,,,,Sugars (g),,,,,,,,,,,,,,,
Onion Rings* (Large) 12 pieces,534.6,2236,9.2,61.6,6.5,26.5,13.3,5.2 6.8,6.7,,0.214,5,5,4,5,5,5,5,4,5,5,5,5
Onion Rings* (Super) 16 pieces,712.8,2981,12.2,82.1,8.6,35.3,17.8,7 9.1,8.9,,0.286,5,5,4,5,5,5,5,4,5,5,5,5
Chilli Cheese Bites* (Regular) 4 pieces,237.9,879,7,25.1,1.1,13.3,4.8,Fat 1(.g6) 5.9,2.4,,0.624,5,4,4,5,5,5,5,4,5,5,5,5
Chilli Cheese Bites* (Large) 6 pieces,366,1352,10.8,38.6,1.7,20.4,7.3,2.5 9,3.7,,0.960,5,4,4,5,5,5,5,4,5,5,5,5
Tomato Ketchup Dip,27,113,0.3,6.5,6.4,0,0,0 0,0.2,,0.227,5,5,5,5,5,5,5,4,4,5,5,5
Sweet Chilli Dip,60,255,0.2,14.8,11.6,0,0,Mon0ounsatu0rated Fa0t. 1(g),,,0.249,5,5,5,5,5,5,5,4,5,5,5,4
BBQ Dip,29.5,126,0.2,7.1,6.3,0,0,0 0,0.1,,0.320,5,5,5,5,5,5,5,4,5,5,5,4
"",,,,,,,,polyunsaturated Fat,,,,,,,,,,,,,,,
Add Cheese,83,334,4.5,0.9,0.9,6.5,2.1,0.1 4.1,0.1,,0.412,5,4,5,5,4,5,5,4,5,5,5,5
Add Bacon,35.4,147,3,0.4,0.3,2.4,1.4,(g) 0.3 0.7,0,,0.168,5,5,4,5,5,5,5,5,5,5,5,5
BK® Fresh Apple Fries,28.2,119,0.2,7.1,7.1,0.1,0,0.1 0,1.1,,0.002,5,5,5,5,5,5,5,4,5,5,5,5
"",,,,,,,,,,,,,,,,,,,,,,,,
"","Desserts, Shakes & Frozen Beverages",,,,,,,,,,,,,,,,,,,,,,,
"",Ice Cream Cone,99.2,430,2.3,15.6,13.2,3.4,0.8,0.1,2.2,0.1,0.059,5,4,4,4,4,5,5,4,5,5,5,5
"",Oreo Fusion,266,1253,5.3,43.8,39,11.2,1.4,0,7.1,0.7,0.136,5,4,4,5,4,5,5,4,5,5,5,5
"",Kit Kat Fusion,345,1587,6.4,56.7,50.4,13.7,3.5,0.3,8.6,0.8,0.154,4,4,4,5,4,5,5,4,5,5,5,4
"",Strawberry Cheesecake Fusion,333.3,1436,11.8,57.6,42.6,9.8,2.6,0.6,5.8,0.8,0.198,5,4,4,5,5,5,5,4,5,5,5,4
"",Strawberry Sundae,133,924,9,36.2,34.5,6.5,1.3,0,4.6,0.1,0.122,5,4,5,5,5,5,5,4,5,5,5,4
"",Chocolate Sundae,153,936,4,37.3,34.9,6.4,1.3,0,4.5,0.3,0.114,5,4,4,5,5,5,5,4,5,5,5,4
"",Chocolate Filled Muffin,482,2007,4,47.1,31.8,30.6,16.4,7.1,6.8,3.3,0.288,4,4,4,4,4,5,5,4,5,5,4,5
"",Blueberry Filled Muffin,430,1799,5.4,48.3,41,24,12.6,5.2,5.4,0.8,0.269,4,4,4,4,5,5,5,4,5,5,4,5
"",Shake Regular (Vanilla),371,1558,11.1,59.4,59.4,9.3,1.9,0,7.4,0,0.260,5,4,5,5,5,5,5,4,5,5,5,5
"",Shake Large (Vanilla),460,1932,13.8,73.6,73.6,11.5,2.3,0,9.2,0,0.322,5,4,5,5,5,5,5,4,5,5,5,5
"",Shake Regular (Strawberry),433.4,1824,11.2,74.9,72.1,9.3,1.9,0,7.4,0,0.270,5,4,4,5,5,5,5,4,5,5,5,5
"",Shake Large (Strawberry),582.7,2455,13.8,104.3,98.7,11.5,2.3,0,9.2,0,0.341,5,4,4,5,5,5,5,4,5,5,5,5
"",Shake Regular (Chocolate),448.4,1892,11.5,79.8,74,9.6,2,0,7.5,0.5,0.287,5,4,4,5,4,5,5,4,5,5,5,5
"",Shake Large (Chocolate),612.2,2588,14.4,113.7,102.4,12.1,2.6,0.1,9.5,0.9,0.375,5,4,4,5,4,5,5,4,5,5,5,5
"",Frappe Regular (Caramel),337.5,1438,8.1,57,36.3,8.5,1.7,0.2,4.9,0.5,0.161,5,4,5,5,4,5,5,4,5,5,5,4
